image_name,gaze_direction,head_position
frame_00001.png,"[40.0, 38.0]","[697.2, 314.5, 743.18, 368.95]"
frame_00002.png,"[40.0, 38.0]","[705.3, 314.6, 750.07, 367.84]"
frame_00003.png,"[42.0, 37.0]","[715.0, 312.3, 763.4, 369.17]"
frame_00004.png,"[43.0, 37.0]","[725.3, 315.9, 770.07, 365.51]"
frame_00005.png,"[43.0, 37.0]","[728.1, 310.5, 775.29, 364.95]"
frame_00006.png,"[45.0, 37.0]","[725.4, 311.8, 768.96, 362.62]"
frame_00007.png,"[45.0, 36.0]","[715.0, 309.5, 763.4, 363.95]"
frame_00008.png,"[42.0, 36.0]","[708.0, 309.3, 756.4, 366.17]"
frame_00009.png,"[43.0, 36.0]","[707.9, 312.1, 757.51, 371.39]"
frame_00010.png,"[43.0, 36.0]","[710.9, 315.0, 760.51, 375.5]"
frame_00011.png,"[45.0, 37.0]","[714.9, 320.2, 764.51, 378.28]"
frame_00012.png,"[45.0, 36.0]","[723.1, 328.3, 770.29, 385.17]"
frame_00013.png,"[47.0, 37.0]","[722.9, 335.2, 772.51, 393.28]"
frame_00014.png,"[47.0, 37.0]","[725.9, 339.1, 775.51, 398.39]"
frame_00015.png,"[47.0, 40.0]","[722.9, 343.2, 772.51, 401.28]"
frame_00016.png,"[47.0, 42.0]","[710.8, 343.7, 761.62, 407.83]"
frame_00017.png,"[50.0, 43.0]","[705.9, 351.2, 755.51, 409.28]"
frame_00018.png,"[49.0, 43.0]","[701.8, 350.0, 752.62, 410.5]"
frame_00019.png,"[35.0, 32.0]","[124.9, -2.7, 162.41, 29.97]"
frame_00020.png,"[47.0, 41.0]","[693.6, 339.6, 746.84, 404.94]"
frame_00021.png,"[43.0, 41.0]","[691.5, 339.7, 745.95, 403.83]"
frame_00022.png,"[43.0, 38.0]","[688.6, 336.8, 741.84, 399.72]"
frame_00023.png,"[40.0, 40.0]","[681.7, 331.7, 733.73, 395.83]"
frame_00024.png,"[34.0, 31.0]","[915.0, 214.9, 927.1, 228.21]"
frame_00025.png,"[37.0, 40.0]","[661.6, 324.7, 714.84, 388.83]"
frame_00026.png,"[37.0, 40.0]","[661.5, 326.0, 715.95, 386.5]"
frame_00027.png,"[37.0, 40.0]","[665.5, 315.6, 719.95, 380.94]"
frame_00028.png,"[37.0, 39.0]","[668.4, 308.6, 724.06, 373.94]"
frame_00029.png,"[37.0, 38.0]","[676.5, 307.0, 730.95, 367.5]"
frame_00030.png,"[37.0, 38.0]","[681.6, 298.9, 734.84, 360.61]"
frame_00031.png,"[37.0, 37.0]","[683.4, 290.9, 739.06, 352.61]"
frame_00032.png,"[36.0, 37.0]","[673.5, 283.9, 727.95, 345.61]"
frame_00033.png,"[36.0, 36.0]","[667.4, 278.8, 723.06, 341.72]"
frame_00034.png,"[35.0, 36.0]","[667.3, 269.5, 724.17, 336.05]"
frame_00035.png,"[35.0, 36.0]","[672.6, 269.0, 725.84, 329.5]"
frame_00036.png,"[36.0, 36.0]","[673.5, 267.9, 727.95, 329.61]"
frame_00037.png,"[35.0, 36.0]","[676.4, 262.7, 732.06, 326.83]"
frame_00038.png,"[35.0, 36.0]","[675.4, 259.9, 731.06, 321.61]"
frame_00039.png,"[36.0, 37.0]","[667.4, 255.8, 723.06, 318.72]"
frame_00040.png,"[37.0, 35.0]","[667.3, 251.7, 724.17, 315.83]"
frame_00041.png,"[35.0, 35.0]","[672.4, 251.8, 728.06, 314.72]"
frame_00042.png,"[33.0, 34.0]","[679.4, 246.5, 735.06, 313.05]"
frame_00043.png,"[31.0, 36.0]","[691.3, 251.7, 748.17, 315.83]"
frame_00044.png,"[36.0, 35.0]","[708.3, 255.8, 765.17, 318.72]"
frame_00045.png,"[35.0, 34.0]","[720.4, 250.6, 776.06, 315.94]"
frame_00046.png,"[35.0, 34.0]","[722.3, 249.5, 779.17, 316.05]"
frame_00047.png,"[36.0, 35.0]","[731.5, 251.8, 785.95, 314.72]"
frame_00048.png,"[31.0, 37.0]","[744.5, 250.6, 798.95, 315.94]"
frame_00049.png,"[35.0, 35.0]","[759.3, 248.3, 816.17, 317.27]"
frame_00050.png,"[36.0, 35.0]","[774.2, 249.3, 832.28, 318.27]"
frame_00051.png,"[35.0, 35.0]","[790.3, 252.2, 847.17, 322.38]"
frame_00052.png,"[31.0, 37.0]","[801.2, 251.1, 859.28, 322.49]"
frame_00053.png,"[31.0, 37.0]","[797.1, 253.9, 856.39, 327.71]"
frame_00054.png,"[31.0, 37.0]","[787.9, 259.0, 849.61, 331.6]"
frame_00055.png,"[31.0, 37.0]","[789.1, 261.9, 848.39, 335.71]"
frame_00056.png,"[34.0, 36.0]","[793.1, 262.0, 852.39, 334.6]"
frame_00057.png,"[3.0, 12.0]","[14.6, 1.4, 43.64, 32.86]"
frame_00058.png,"[31.0, 37.0]","[794.7, 260.8, 858.83, 335.82]"
frame_00059.png,"[34.0, 36.0]","[791.9, 256.7, 853.61, 332.93]"
frame_00060.png,"[30.0, 37.0]","[781.1, 253.8, 840.39, 328.82]"
frame_00061.png,"[38.0, 25.0]","[117.9, 73.6, 131.21, 90.54]"
frame_00062.png,"[39.0, 26.0]","[107.6, 57.3, 124.54, 77.87]"
frame_00063.png,"[27.0, 36.0]","[747.9, 250.9, 809.61, 324.71]"
frame_00064.png,"[23.0, 35.0]","[740.9, 251.0, 802.61, 323.6]"
frame_00065.png,"[28.0, 35.0]","[737.0, 249.8, 797.5, 324.82]"
frame_00066.png,"[38.0, 27.0]","[232.0, 32.8, 244.1, 47.32]"
frame_00067.png,"[38.0, 27.0]","[183.8, 15.5, 198.32, 33.65]"
frame_00068.png,"[28.0, 35.0]","[720.9, 243.5, 782.61, 322.15]"
frame_00069.png,"[27.0, 31.0]","[714.1, 248.7, 773.39, 324.93]"
frame_00070.png,"[27.0, 31.0]","[718.2, 248.7, 776.28, 324.93]"
frame_00071.png,"[29.0, 31.0]","[724.9, 243.4, 786.61, 323.26]"
frame_00072.png,"[29.0, 30.0]","[736.9, 248.7, 798.61, 324.93]"
frame_00073.png,out_of_frame,"[745.0, 251.5, 805.5, 330.15]"
frame_00074.png,out_of_frame,"[752.9, 251.9, 814.61, 337.81]"
frame_00075.png,out_of_frame,"[762.2, 255.4, 820.28, 335.26]"
frame_00076.png,out_of_frame,"[758.2, 259.4, 816.28, 339.26]"
frame_00077.png,out_of_frame,"[754.3, 270.3, 811.17, 351.37]"
frame_00078.png,"[3.0, 43.0]","[754.2, 280.2, 812.28, 362.48]"
frame_00079.png,"[13.0, 13.0]","[764.6, 291.7, 817.84, 367.93]"
frame_00080.png,"[15.0, 16.0]","[770.2, 300.2, 828.28, 382.48]"
frame_00081.png,out_of_frame,"[783.4, 312.3, 839.06, 393.37]"
frame_00082.png,"[4.0, 26.0]","[799.5, 324.4, 853.95, 404.26]"
frame_00083.png,"[7.0, 25.0]","[805.2, 328.4, 863.28, 408.26]"
frame_00084.png,"[8.0, 26.0]","[803.5, 331.3, 857.95, 412.37]"
frame_00085.png,"[10.0, 25.0]","[800.6, 331.3, 853.84, 412.37]"
frame_00086.png,"[31.0, 19.0]","[1085.5, 76.2, 1103.65, 97.98]"
frame_00087.png,"[31.0, 40.0]","[775.5, 312.4, 829.95, 392.26]"
frame_00088.png,"[15.0, 24.0]","[761.7, 310.7, 813.73, 386.93]"
frame_00089.png,"[4.0, 24.0]","[753.8, 300.3, 804.62, 381.37]"
frame_00090.png,"[38.0, 29.0]","[912.6, 30.3, 929.54, 50.87]"
frame_00091.png,"[35.0, 30.0]","[933.8, 23.5, 948.32, 41.65]"
frame_00092.png,"[21.0, 24.0]","[708.1, 295.8, 755.29, 370.82]"
frame_00093.png,"[2.0, 26.0]","[704.1, 292.9, 751.29, 366.71]"
frame_00094.png,"[4.0, 26.0]","[708.1, 288.9, 755.29, 362.71]"
frame_00095.png,"[7.0, 26.0]","[709.2, 291.7, 755.18, 367.93]"
frame_00096.png,"[9.0, 26.0]","[717.2, 294.6, 763.18, 372.04]"
frame_00097.png,"[11.0, 26.0]","[730.5, 295.8, 772.85, 370.82]"
frame_00098.png,"[14.0, 26.0]","[733.3, 297.0, 778.07, 369.6]"
frame_00099.png,"[16.0, 25.0]","[742.5, 299.8, 784.85, 374.82]"
frame_00100.png,"[19.0, 25.0]","[758.6, 300.9, 799.74, 374.71]"
frame_00101.png,"[21.0, 25.0]","[773.5, 300.9, 815.85, 374.71]"
frame_00102.png,"[24.0, 25.0]","[785.4, 303.0, 828.96, 387.7]"
frame_00103.png,"[25.0, 24.0]","[802.7, 310.7, 842.63, 386.93]"
frame_00104.png,"[28.0, 25.0]","[814.8, 311.9, 853.52, 385.71]"
frame_00105.png,"[28.0, 26.0]","[806.7, 309.5, 846.63, 388.15]"
frame_00106.png,"[30.0, 26.0]","[798.8, 310.6, 837.52, 388.04]"
frame_00107.png,"[23.0, 45.0]","[800.6, 324.0, 829.64, 396.6]"
frame_00108.png,"[23.0, 45.0]","[800.6, 330.4, 829.64, 398.16]"
frame_00109.png,"[23.0, 60.0]","[799.4, 326.8, 830.86, 401.82]"
frame_00111.png,"[23.0, 60.0]","[802.8, 326.8, 841.52, 401.82]"
frame_00144.png,"[39.0, 36.0]","[453.7, 335.1, 481.53, 370.19]"
frame_00146.png,"[40.0, 34.0]","[585.4, 253.4, 616.86, 321.16]"
frame_00148.png,"[40.0, 32.0]","[582.9, 253.4, 620.41, 321.16]"
frame_00149.png,"[41.0, 35.0]","[586.9, 256.3, 624.41, 325.27]"
frame_00150.png,"[41.0, 33.0]","[597.8, 253.4, 636.52, 321.16]"
frame_00151.png,"[42.0, 34.0]","[600.2, 257.4, 634.08, 325.16]"
frame_00152.png,"[40.0, 32.0]","[597.7, 256.2, 637.63, 326.38]"
frame_00153.png,"[48.0, 37.0]","[599.0, 260.3, 635.3, 329.27]"
frame_00154.png,"[40.0, 32.0]","[589.7, 257.4, 629.63, 325.16]"
frame_00155.png,"[40.0, 32.0]","[589.7, 262.6, 629.63, 327.94]"
frame_00156.png,"[40.0, 32.0]","[592.5, 263.1, 634.85, 334.49]"
frame_00157.png,"[40.0, 32.0]","[599.4, 261.9, 642.96, 335.71]"
frame_00158.png,"[40.0, 32.0]","[606.3, 260.3, 651.07, 329.27]"
frame_00159.png,"[40.0, 33.0]","[603.4, 260.3, 646.96, 329.27]"
frame_00160.png,"[34.0, 30.0]","[183.0, 13.9, 207.2, 51.41]"
frame_00161.png,"[48.0, 36.0]","[598.3, 249.8, 643.07, 324.82]"
frame_00162.png,"[51.0, 20.0]","[609.1, 253.8, 656.29, 328.82]"
frame_00163.png,"[41.0, 33.0]","[623.8, 252.6, 674.62, 330.04]"
frame_00164.png,"[41.0, 34.0]","[639.9, 255.5, 689.51, 334.15]"
frame_00165.png,"[42.0, 31.0]","[655.9, 268.8, 705.51, 343.82]"
frame_00166.png,"[44.0, 34.0]","[663.9, 268.7, 713.51, 344.93]"
frame_00167.png,"[61.0, 4.0]","[659.9, 264.7, 709.51, 340.93]"
frame_00168.png,"[61.0, 5.0]","[654.7, 262.2, 706.73, 344.48]"
frame_00169.png,"[41.0, 36.0]","[657.6, 266.5, 710.84, 345.15]"
frame_00170.png,"[29.0, 15.0]","[360.3, -1.9000000000000001, 392.97, 21.09]"
